target, w1Threads, w2Threads, gThreads, hThreads, wTime, gTime, hTime, pHostsNeeded 
clarkinc,84,4,1030,85,219866.964513276,175893.57161062083,54966.741128319,2
4sigma,54,4,657,84,225917.5831988757,180734.06655910058,56479.39579971893,1
blade,117,4,1441,92,342903.16585459205,274322.53268367366,85725.79146364801,3
omnitek,78,4,957,92,341004.52343945554,272803.61875156447,85251.13085986389,2
b-and-a,90,4,1110,88,310970.5041362803,248776.40330902423,77742.62603407007,2
rho-construction,61,3,744,56,71751.99193026724,57401.59354421379,17937.99798256681,1
global-pharm,73,4,901,76,222203.75517805933,177763.0041424475,55550.938794514834,1
deltaone,108,4,1334,76,225854.9905917833,180683.99247342665,56463.74764794583,2
alpha-ent,91,3,1122,62,115587.68109731912,92470.1448778553,28896.92027432978,1
zeus-med,80,4,984,76,226668.69448398467,181334.95558718775,56667.17362099617,2
zb-def,73,3,895,70,176250.34947104755,141000.27957683805,44062.58736776189,1
nova-med,74,4,912,76,220899.74253030078,176719.79402424063,55224.935632575194,1
unitalife,81,3,995,74,208642.0236413703,166913.61891309626,52160.505910342574,2
fulcrumtech,77,4,944,93,341526.128498559,273220.90279884724,85381.53212463975,2
lexo-corp,82,3,1009,68,158067.19711070214,126453.75768856172,39516.799277675535,1
