target, w1Threads, w2Threads, gThreads, hThreads, wTime, gTime, hTime, pHostsNeeded 
clarkinc,84,4,1030,86,223259.02146930128,178607.21717544104,55814.75536732532,2
4sigma,54,4,657,85,229402.9877082553,183522.39016660425,57350.746927063825,1
rho-construction,61,3,744,56,72858.96515780292,58287.17212624234,18214.74128945073,1
global-pharm,73,4,901,76,225631.8636029663,180505.49088237307,56407.965900741576,1
deltaone,108,4,1334,77,229339.42943681782,183471.54354945428,57334.857359204456,2
alpha-ent,91,3,1122,62,117370.94125450078,93896.75300360064,29342.735313625195,1
zb-def,73,3,895,71,178969.49932263454,143175.59945810764,44742.374830658635,1
zeus-med,80,4,984,77,230165.68696550478,184132.54957240383,57541.421741376194,2
nova-med,74,4,912,76,224307.7329480193,179446.18635841543,56076.93323700482,1
unitalife,81,4,995,75,211860.90479151765,169488.72383321414,52965.22619787941,2
lexo-corp,82,3,1009,68,160505.82147005378,128404.65717604302,40126.455367513445,1
the-hub,71,3,875,52,43982.32383471906,35185.85906777525,10995.580958679766,1
galactic-cyber,74,3,908,72,187422.74942381607,149938.19953905288,46855.68735595402,1
catalyst,120,3,1479,60,97900.9241041603,78320.73928332824,24475.231026040074,1
aerocorp,115,4,1412,81,261351.61215081616,209081.28972065295,65337.90303770404,2
powerhouse-fitness,96,4,1177,78,222792.92747875993,178234.34198300797,55698.23186968998,2
zb-institute,91,4,1115,77,230801.26967987927,184641.01574390344,57700.31741996982,2
titan-labs,76,4,932,76,219487.89736401223,175590.3178912098,54871.97434100306,1
